My company size is...,My company is based in...,"If you're in the USA, are you in...",My company is ...,What types of professional development does your company support?,Is your policy...,Whom does this apply to at your company?,What is your per person budget (USD)?,How much time off does an employee get for professional development?,Is your budget and time allotment inclusive of employees' time spent speaking at conferences?,What is your policy for employees speaking at conferences?,We support employees speaking at conferences...,Anything else you'd like to share?,My company's name is:
<50 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, venture capital funding","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes","Informal, but communicated as a general standard",Engineering,Not specified,Not specified,It depends,Paid for by company and time off given,Domestically (or short flight),,
50 - 250 people,Canada,,"Private, bootstrapped or sustained with revenue","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free), anything",Formalized & written down,Everyone,$2001 - $3000,5 - 10 days,It depends,Paid for by company and time off given,Internationally (overseas flight),,Online Business Systems
250 - 1000 people,USA,A small city or town,"Private, bootstrapped or sustained with revenue","Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes","Informal, but communicated as a general standard",Engineering,Not specified,Not specified,No,Not paid for by company and no time off given,N/A,,
1000 - 5000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Public,"Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free), Whatever we think we need",Formalized & written down,Everyone,Act in Netflix's best interests,Unlimited,It depends,Paid for by company and time off given,Internationally (overseas flight),,Netflix
1000 - 5000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Public,"Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free)",Formalized & written down,Everyone,Unlimited,Unlimited,,,,,HubSpot
1000 - 5000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Public,"Attending conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Ad-hoc,Everyone,Not specified,Not specified,Yes,Paid for by company and time off given,Domestically (or short flight),,
50 - 250 people,USA,"A regional city (i.e. Madison, St. Louis, Salt Lake City)","Private, bootstrapped or sustained with revenue","Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Formalized & written down,Everyone,<$1000,0 days,No,Paid for by company and time off given,Domestically (or short flight),"Employees can reimburse cost of materials (Excluding conferences). Conferences expenses that aren't covered by the event are covered by employeer. We have unlimited PTO so all ""time allocated"" questions don't really apply.",
> 5000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Public,"Attending conferences, Books, videos, tutorials, and other self-paced paid resources, Time allotment for professional development (even if it's free)",Ad-hoc,Engineering,Not specified,Not specified,No,Not paid for by company but time off given,N/A,,Choose Not To Answer
<50 people,USA,"A regional city (i.e. Madison, St. Louis, Salt Lake City)","Private, bootstrapped or sustained with revenue","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Time allotment for professional development (even if it's free)",Formalized & written down,Everyone,$1001 - $2000,">10 days, but not unlimited",It depends,Paid for by company and time off given,Internationally (overseas flight),"For those not wishing to (or cannot) attend conferences, the budget falls back to a ""work-related equipment"" budget.",Bendyworks
<50 people,USA,A small city or town,"Private, bootstrapped or sustained with revenue","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Ad-hoc,"everyone, but esp. engineering",Not specified,Not specified,No,Not paid for by company but time off given,Locally (no travel required),,
250 - 1000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Non profit ,"Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free)",Formalized & written down,Everyone,Not specified,1 - 5 days,It depends,Paid for by company but no time off given,Domestically (or short flight),,
<50 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, venture capital funding","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free)","Informal, but communicated as a general standard",Everyone,<$1000,Not specified,No,Paid for by company and time off given,N/A,,
50 - 250 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, bootstrapped or sustained with revenue","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources","Informal, but communicated as a general standard",Engineering,Not specified,Not specified,No,Paid for by company and time off given,Domestically (or short flight),,Sharethrough
50 - 250 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, bootstrapped or sustained with revenue","Attending conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Ad-hoc,Engineering,Not specified,Not specified,It depends,Paid for by company and time off given,Domestically (or short flight),,
> 5000 people,USA,"A regional city (i.e. Madison, St. Louis, Salt Lake City)",Public,"Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Formalized & written down,,"10,000",Not specified,Yes,Paid for by company and time off given,Internationally (overseas flight),,GE
> 5000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Public,"Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes","Informal, but communicated as a general standard",Engineering,$1001 - $2000,Not specified,No,Paid for by company and time off given,Internationally (overseas flight),,Under Armour
50 - 250 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, venture capital funding","Attending conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Formalized & written down,Everyone,$1001 - $2000,Not specified,,,N/A,,
<50 people,EMEA,A small city or town,"Private, venture capital funding","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free)","Informal, but communicated as a general standard",Engineering,$1001 - $2000,"Not officially unlimited, just ""don't take the piss""",No,Not paid for by company but time off given,"Their budget, their call",,LaterPay
250 - 1000 people,USA,A small city or town,"Private, bootstrapped or sustained with revenue","Attending conferences, Trainings, workshops, classes, Time allotment for professional development (even if it's free)",Ad-hoc,Everyone,$2001 - $3000,5 - 10 days,No,Paid for by company and time off given,Domestically (or short flight),,
1000 - 5000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)",Public,"Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free), technical book club","Informal, but communicated as a general standard",Engineering,$1001 - $2000,Not specified,It depends,Paid for by company and time off given,Internationally (overseas flight),,
<50 people,USA,"A regional city (i.e. Madison, St. Louis, Salt Lake City)","Private, bootstrapped or sustained with revenue",,What policy?,Everyone,Not specified,Not specified,No,Not paid for by company and no time off given,N/A,,
50 - 250 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, bootstrapped or sustained with revenue","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes, Time allotment for professional development (even if it's free)","Informal, but communicated as a general standard",Everyone,$1001 - $2000,1 - 5 days,No,Paid for by company and time off given,Domestically (or short flight),,HelloSign
<50 people,LATAM,,"Private, venture capital funding","Speaking at conferences, Trainings, workshops, classes",Formalized & written down,Everyone,Not specified,5 - 10 days,No,Paid for by company and time off given,Locally (no travel required),,
250 - 1000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, venture capital funding","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Trainings, workshops, classes",Formalized & written down,Everyone,$1001 - $2000,0 days,No,Paid for by company and time off given,Internationally (overseas flight),"The policy is written, but there's greater flexibility for activities that are ""directly related to your job"" and which ""the company sends you to."" There's no formal definition of which conferences/activities apply to one vs. the other. As a new employee I feel a lot of uncertainty about whether any particular event is ""directly related"" or whether I need to spend my professional development budget. Also, the professional development funds explicitly can't be used for travel, but my company will cover travel expense if they ""send"" us to something.",Slack
250 - 1000 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, venture capital funding","Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources",Ad-hoc,Everyone,Not specified,Not specified,It depends,Paid for by company and time off given,Internationally (overseas flight),,
<50 people,USA,A small city or town,"Private, bootstrapped or sustained with revenue","Attending conferences, Speaking at conferences, Time allotment for professional development (even if it's free)",Formalized & written down,Everyone,$2001 - $3000,0 days,No,Paid for by company and time off given,Internationally (overseas flight),,Test Double
<50 people,USA,"A tech ""hub"" or major city (i.e. SF Bay Area, NYC, Seattle)","Private, venture capital funding","Attending conferences, Speaking at conferences, Books, videos, tutorials, and other self-paced paid resources, Time allotment for professional development (even if it's free)","Informal, but communicated as a general standard",Everyone,Not specified,Not specified,,,,,
